abstention_effect,accuracy_effect,confidence_effect,contrast_id,control_cell_id,factor,factor_class,family_id,model_id,normative_oriented_effect,raw_adoption_effect,run_label,treated_cell_id
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-007,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-008,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-009,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-010,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-011,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-012,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-013,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-014,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-015,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,independent_roots,dependent_copies,source_independence,normative,v0-family-016,hf/microsoft/phi-4,0.0,0.0,phi4_parser_v3,independent_roots
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-001,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-002,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-003,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-004,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-005,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-006,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-007,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-008,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-009,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-010,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-011,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-012,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-013,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-014,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-015,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,popularity_high,baseline,popularity,heuristic,v0-family-016,hf/microsoft/phi-4,,0.0,phi4_parser_v3,popularity_high
0.0,0.0,0.0,position_late,baseline,document_position,heuristic,v0-family-001,hf/microsoft/phi-4,,0.0,phi4_parser_v3,position_late
0.0,0.0,0.0,position_late,baseline,document_position,heuristic,v0-family-002,hf/microsoft/phi-4,,0.0,phi4_parser_v3,position_late
0.0,0.0,0.0,position_late,baseline,document_position,heuristic,v0-family-003,hf/microsoft/phi-4,,0.0,phi4_parser_v3,position_late
0.0,0.0,0.0,position_late,baseline,document_position,heuristic,v0-family-004,hf/microsoft/phi-4,,0.0,phi4_parser_v3,position_late
